phase,matrix,variable,x_label,x_value,component,component_index,lambda,factor_value,plotted_value,y_label
LIQUID,A,Co,x_Co,0.11,r=5,5,0.9999999999997267,0.3151251257261027,0.31512512572601653,λ·A
LIQUID,A,Co,x_Co,0.12,r=5,5,0.9999999999997267,0.3763762488354394,0.37637624883533655,λ·A
LIQUID,A,Co,x_Co,0.13,r=5,5,0.9999999999997267,0.27884359285633087,0.27884359285625465,λ·A
LIQUID,A,Co,x_Co,0.14,r=5,5,0.9999999999997267,0.185026906036102,0.18502690603605143,λ·A
LIQUID,A,Co,x_Co,0.15,r=5,5,0.9999999999997267,0.25861735698019994,0.2586173569801293,λ·A
LIQUID,A,Co,x_Co,0.16,r=5,5,0.9999999999997267,0.3728946257489163,0.3728946257488144,λ·A
LIQUID,A,Co,x_Co,0.17,r=5,5,0.9999999999997267,0.3023760907622768,0.3023760907621941,λ·A
LIQUID,A,Co,x_Co,0.18,r=5,5,0.9999999999997267,0.14725556598956166,0.14725556598952141,λ·A
LIQUID,A,Co,x_Co,0.19,r=5,5,0.9999999999997267,0.1019388704414363,0.10193887044140844,λ·A
LIQUID,A,Co,x_Co,0.2,r=5,5,0.9999999999997267,0.13831182737239278,0.13831182737235498,λ·A
LIQUID,A,Co,x_Co,0.21,r=5,5,0.9999999999997267,0.16635209059995118,0.16635209059990572,λ·A
LIQUID,A,Co,x_Co,0.22,r=5,5,0.9999999999997267,0.042640686900539716,0.04264068690052806,λ·A
LIQUID,A,Co,x_Co,0.23,r=5,5,0.9999999999997267,-0.07307220445614095,-0.07307220445612098,λ·A
LIQUID,A,Co,x_Co,0.24,r=5,5,0.9999999999997267,-0.028547919961289425,-0.028547919961281622,λ·A
LIQUID,A,Co,x_Co,0.25,r=5,5,0.9999999999997267,0.019056052849703683,0.019056052849698475,λ·A
LIQUID,A,Co,x_Co,0.26,r=5,5,0.9999999999997267,0.057701647450833435,0.05770164745081766,λ·A
LIQUID,A,Co,x_Co,0.27,r=5,5,0.9999999999997267,-0.05707589359103924,-0.05707589359102364,λ·A
LIQUID,A,Co,x_Co,0.28,r=5,5,0.9999999999997267,-0.19723532586599749,-0.19723532586594358,λ·A
LIQUID,A,Co,x_Co,0.29,r=5,5,0.9999999999997267,-0.18525938235471678,-0.18525938235466616,λ·A
LIQUID,A,Co,x_Co,0.3,r=5,5,0.9999999999997267,-0.09690930025472536,-0.09690930025469886,λ·A
LIQUID,A,Co,x_Co,0.31,r=5,5,0.9999999999997267,-0.01731150287925612,-0.017311502879251386,λ·A
LIQUID,A,Co,x_Co,0.32,r=5,5,0.9999999999997267,-0.12567315664585452,-0.12567315664582016,λ·A
LIQUID,A,Co,x_Co,0.33,r=5,5,0.9999999999997267,-0.17311090708504132,-0.173110907084994,λ·A
LIQUID,A,Co,x_Co,0.34,r=5,5,0.9999999999997267,-0.06071616243176947,-0.060716162431752874,λ·A
LIQUID,A,Co,x_Co,0.35,r=5,5,0.9999999999997267,0.021697063615663276,0.021697063615657347,λ·A
LIQUID,A,Co,x_Co,0.36,r=5,5,0.9999999999997267,-0.014919912746121113,-0.014919912746117035,λ·A
LIQUID,A,Co,x_Co,0.37,r=5,5,0.9999999999997267,-0.09467221375166382,-0.09467221375163794,λ·A
LIQUID,A,Co,x_Co,0.38,r=5,5,0.9999999999997267,-0.14164763879365022,-0.1416476387936115,λ·A
LIQUID,A,Co,x_Co,0.39,r=5,5,0.9999999999997267,-0.007939675454928444,-0.007939675454926274,λ·A
LIQUID,A,Co,x_Co,0.4,r=5,5,0.9999999999997267,0.15977806110791062,0.15977806110786696,λ·A
LIQUID,A,Co,x_Co,0.01,r=6,6,0.9999999999996511,0.17665105219215185,0.1766510521920902,λ·A
LIQUID,A,Co,x_Co,0.02,r=6,6,0.9999999999996511,-0.0945647252378049,-0.0945647252377719,λ·A
LIQUID,A,Co,x_Co,0.03,r=6,6,0.9999999999996511,-0.13386471707756245,-0.13386471707751574,λ·A
LIQUID,A,Co,x_Co,0.04,r=6,6,0.9999999999996511,0.10706499194457363,0.10706499194453627,λ·A
LIQUID,A,Co,x_Co,0.05,r=6,6,0.9999999999996511,0.31249358844354463,0.3124935884434356,λ·A
LIQUID,A,Co,x_Co,0.06,r=6,6,0.9999999999996511,0.16539707114171,0.1653970711416523,λ·A
LIQUID,A,Co,x_Co,0.07,r=6,6,0.9999999999996511,-0.07286640384071068,-0.07286640384068525,λ·A
LIQUID,A,Co,x_Co,0.08,r=6,6,0.9999999999996511,-0.10590718174385384,-0.10590718174381689,λ·A
LIQUID,A,Co,x_Co,0.09,r=6,6,0.9999999999996511,0.03599794835650547,0.03599794835649291,λ·A
LIQUID,A,Co,x_Co,0.1,r=6,6,0.9999999999996511,0.11414879164359656,0.11414879164355674,λ·A
LIQUID,A,Co,x_Co,0.11,r=6,6,0.9999999999996511,-0.05644400385063337,-0.056444003850613676,λ·A
LIQUID,A,Co,x_Co,0.12,r=6,6,0.9999999999996511,-0.3212185934193232,-0.3212185934192111,λ·A
LIQUID,A,Co,x_Co,0.13,r=6,6,0.9999999999996511,-0.3001307117727103,-0.30013071177260553,λ·A
LIQUID,A,Co,x_Co,0.14,r=6,6,0.9999999999996511,-0.08320403782947237,-0.08320403782944334,λ·A
LIQUID,A,Co,x_Co,0.15,r=6,6,0.9999999999996511,0.03549741603513688,0.0354974160351245,λ·A
LIQUID,A,Co,x_Co,0.16,r=6,6,0.9999999999996511,-0.14204851969793955,-0.14204851969788998,λ·A
LIQUID,A,Co,x_Co,0.17,r=6,6,0.9999999999996511,-0.33264443855088566,-0.3326444385507696,λ·A
LIQUID,A,Co,x_Co,0.18,r=6,6,0.9999999999996511,-0.23035809895415504,-0.23035809895407466,λ·A
LIQUID,A,Co,x_Co,0.19,r=6,6,0.9999999999996511,0.01236154430525541,0.012361544305251096,λ·A
LIQUID,A,Co,x_Co,0.2,r=6,6,0.9999999999996511,0.05499198674910528,0.05499198674908609,λ·A
LIQUID,A,Co,x_Co,0.21,r=6,6,0.9999999999996511,-0.1061481229000796,-0.10614812290004257,λ·A
LIQUID,A,Co,x_Co,0.22,r=6,6,0.9999999999996511,-0.2509318701838975,-0.25093187018380997,λ·A
