phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
LIQUID,C,Fe,x_Fe,0.34,λ·C,-0.14294464104039475,-0.1119647266890211,0.006084520304924684,-0.092230986321526,0.029782741861709785,-0.2964345526623122
LIQUID,C,Fe,x_Fe,0.35,λ·C,0.030143660210965637,-0.05426301606138893,-0.11475747648043719,0.020402633052573005,-0.07186192874932103,-0.16497833671314938
LIQUID,C,Fe,x_Fe,0.36,λ·C,0.0877292663603669,0.04365928412660366,-0.08085523397210592,0.12098813110665305,0.04544016665663054,0.033034987350894815
LIQUID,C,Fe,x_Fe,0.37,λ·C,-0.005828911290799665,-0.044074268153708976,0.06075975119199247,0.03048051796718104,0.22895855699851378,0.010396467961987548
LIQUID,C,Fe,x_Fe,0.38,λ·C,-0.07473531451125044,-0.18380868803564537,0.1348823786901509,-0.0869748986725213,0.25993472535421824,-0.12689042250391036
LIQUID,C,Fe,x_Fe,0.39,λ·C,-0.056120946819154534,-0.22295876962432296,-0.04784539935564292,-0.027166402860289058,0.13930770894641487,-0.18743087846972678
LIQUID,C,Fe,x_Fe,0.4,λ·C,0.1464821138418124,-0.17695921801907744,-0.19785460502609706,0.09713466537677709,0.035175867885836765,-0.07059282307263133
LIQUID,D,Temperature,Temperature_K,300.0,λ·D,0.2871490071763729,-0.26139436419864115,-0.2608362115583497,0.2552879336144058,-0.2622211287085747,0.26034374644529357
LIQUID,D,Temperature,Temperature_K,400.0,λ·D,0.2881505628921137,-0.25066951207994703,-0.2501133325261218,0.2445186009799444,-0.25142227916062193,0.2495156395099478
LIQUID,D,Temperature,Temperature_K,500.0,λ·D,0.2863957947517917,-0.238709318998218,-0.2381567527473826,0.2325149823059371,-0.2393916736455858,0.23746992708528222
LIQUID,D,Temperature,Temperature_K,600.0,λ·D,0.28270245550065065,-0.22572355049796594,-0.2251761592820454,0.21948626451749595,-0.22634052070041266,0.224411695348238
LIQUID,D,Temperature,Temperature_K,700.0,λ·D,0.2773817723029756,-0.21185436249129513,-0.21131338393984853,0.20557384774760082,-0.212411406582408,0.21048144827152138
LIQUID,D,Temperature,Temperature_K,800.0,λ·D,0.27059939499746893,-0.1972032620539583,-0.19666957797961757,0.19087905880050607,-0.19770587425789632,0.1957797601125738
LIQUID,D,Temperature,Temperature_K,900.0,λ·D,0.2624769304254698,-0.1818456233092731,-0.18131977757656295,0.17547765116034122,-0.18229915760436444,0.18038119781247086
LIQUID,D,Temperature,Temperature_K,1000.0,λ·D,0.25312260435168943,-0.16583905094457987,-0.1653212771796943,0.1594280227658665,-0.1662486411210017,0.16434254026507814
LIQUID,D,Temperature,Temperature_K,1100.0,λ·D,0.24263873954310308,-0.14922848905316066,-0.1487187377752056,0.14277616998780265,-0.14959902049663065,0.14770788196920429
LIQUID,D,Temperature,Temperature_K,1200.0,λ·D,0.2311204909614278,-0.13204948921166784,-0.13154745197766213,0.1255588111941503,-0.13238560465482183,0.1305119452177311
LIQUID,D,Temperature,Temperature_K,1300.0,λ·D,0.21865073147740094,-0.11433037464572436,-0.1138355051250464,0.10780541486892366,-0.11463650684245373,0.11278230934494464
LIQUID,D,Temperature,Temperature_K,1400.0,λ·D,0.20529284354192218,-0.09609370769749283,-0.09560524022939182,0.08953953388360684,-0.09637413684852644,0.09454095530330124
LIQUID,D,Temperature,Temperature_K,1500.0,λ·D,0.19108203710152202,-0.07735729716669945,-0.076874263471072,0.07077967711066073,-0.07761623340518056,0.07580535982866646
LIQUID,D,Temperature,Temperature_K,1600.0,λ·D,0.1760153749063138,-0.0581348888677316,-0.05765613354103465,0.05153985726634445,-0.0583765815202529,0.0565892825859755
LIQUID,D,Temperature,Temperature_K,1700.0,λ·D,0.16004050909779569,-0.03843662937680699,-0.03796082473117825,0.031829901359535694,-0.0386655056029977,0.03690333715454137
LIQUID,D,Temperature,Temperature_K,1800.0,λ·D,0.14312890020167537,-0.018269865031666253,-0.017795619682747378,0.011656251918963034,-0.0184908584229119,0.01675535619323263
LIQUID,D,Temperature,Temperature_K,1900.0,λ·D,0.12578678187076678,0.0023544500683302934,0.002828095270621829,-0.008970173734208426,0.0021345203372694827,-0.003846514624002024
LIQUID,D,Temperature,Temperature_K,2000.0,λ·D,0.10838212681548406,0.02341822074531879,0.023892192147575507,-0.030028988469895723,0.02319226308580009,-0.024886872587144424
LIQUID,D,Temperature,Temperature_K,2100.0,λ·D,0.0910748877496786,0.04490317885331298,0.04537853546325482,-0.05149951227985398,0.04466482478301829,-0.04634906392892956
LIQUID,D,Temperature,Temperature_K,2200.0,λ·D,0.0739772333954431,0.06679202089318617,0.06726990387068763,-0.07336284107963024,0.06653547634670197,-0.06821691863814015
LIQUID,D,Temperature,Temperature_K,2300.0,λ·D,0.057138273458241136,0.08906776547506604,0.0895493306524201,-0.0956014671059929,0.0887876359517671,-0.09047395888717896
LIQUID,D,Temperature,Temperature_K,2400.0,λ·D,0.04055225477512217,0.11171371029713678,0.11220006946743767,-0.11819909629555275,0.11140484875379986,-0.11310343788687488
LIQUID,D,Temperature,Temperature_K,2500.0,λ·D,0.024208631397236256,0.13471442121052848,0.1352066398147338,-0.14114076132327633,0.13437189519245005,-0.13608982815860338
LIQUID,D,Temperature,Temperature_K,2600.0,λ·D,0.008097701743299844,0.15805569982964082,0.1585548006678353,-0.1644126932504066,0.15767477428923263,-0.15941884545952978
LIQUID,D,Temperature,Temperature_K,2700.0,λ·D,-0.007789488930024038,0.18172444079428104,0.1822314073082697,-0.18800218310386735,0.18130056289421786,-0.1830773051816203
LIQUID,D,Temperature,Temperature_K,2800.0,λ·D,-0.023461231591340313,0.20570851020438877,0.20622428939520088,-0.2118974639878663,0.20523729581093547,-0.20705300005127872
LIQUID,D,Temperature,Temperature_K,2900.0,λ·D,-0.038925224617690574,0.22999664144119697,0.23052214647371966,-0.23608761005606302,0.22947386306598416,-0.23133459532054076
LIQUID,D,Temperature,Temperature_K,3000.0,λ·D,-0.054188635149311846,0.2545783453732483,0.25511445791118814,-0.26056244943350476,0.25399992136349386,-0.255911538430111
LIQUID,D,Temperature,Temperature_K,3100.0,λ·D,-0.06925815225511053,0.2794438325468657,0.2799914048540323,-0.28531248876053433,0.2788058173574205,-0.28077398072933624
LIQUID,D,Temperature,Temperature_K,3200.0,λ·D,-0.08414003323148088,0.3045839454258992,0.30514380226398746,-0.3103288474820239,0.3038825208333967,-0.3059127093061975
LIQUID,D,Temperature,Temperature_K,3300.0,λ·D,-0.09884014410988064,0.3299900991088908,0.33056303945722515,-0.33560320035761454,0.32922156625012994,-0.3313190873460092
