Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.36,0.25,0.38,-174469.5527641951,-169782.68662907282
0.01,0.36,0.26,0.37,-174476.16418732636,-169837.42787158187
0.01,0.36,0.27,0.36,-174470.0198726489,-169878.12565000574
0.01,0.36,0.28,0.35,-174451.3067840467,-169904.92257631238
0.01,0.36,0.29,0.34,-174420.1841903246,-169917.93287066222
0.01,0.36,0.3,0.33,-174376.78495773216,-169917.24365392604
0.01,0.36,0.31,0.32,-174321.21648531573,-169902.91588303194
0.01,0.36,0.32,0.31,-174253.56131282516,-169874.98495886833
0.01,0.36,0.33,0.3,-174173.87742007486,-169833.4610256416
0.01,0.36,0.34,0.29,-174082.1982269438,-169778.3289708733
0.01,0.36,0.35,0.28,-173978.53229401435,-169709.54812603715
0.01,0.36,0.36,0.27,-173862.86271466585,-169627.05165865057
0.01,0.36,0.37,0.26,-173735.1461797222,-169530.7456369217
0.01,0.36,0.38,0.25,-173595.31168492817,-169420.50773722454
0.01,0.36,0.39,0.24,-173443.2588389026,-169296.18555205193
0.01,0.36,0.4,0.23,-173278.855713928,-169157.59444080506
0.01,0.37,0.21,0.41,-174067.235405412,-169197.6440547008
0.01,0.37,0.22,0.4,-174120.50116394385,-169303.61629244208
0.01,0.37,0.23,0.39,-174159.90141456132,-169394.5227286052
0.01,0.37,0.24,0.38,-174185.75121451475,-169470.6351105322
0.01,0.37,0.25,0.37,-174198.32761079667,-169532.18647863017
0.01,0.37,0.26,0.36,-174197.87290723735,-169579.37443345384
0.01,0.37,0.27,0.35,-174184.5972893902,-169612.3637605794
0.01,0.37,0.28,0.34,-174158.68090719133,-169631.28851325499
0.01,0.37,0.29,0.33,-174120.27549066162,-169636.25362809398
0.01,0.37,0.3,0.32,-174069.50555450786,-169627.33612966954
0.01,0.37,0.31,0.31,-174006.46923180198,-169604.58596418827
0.01,0.37,0.32,0.3,-173931.2387638003,-169568.02648930417
0.01,0.37,0.33,0.29,-173843.86066151535,-169517.65463568692
0.01,0.37,0.34,0.28,-173744.3555441439,-169453.44074544642
0.01,0.37,0.35,0.27,-173632.71764924805,-169375.32808231137
0.01,0.37,0.36,0.26,-173508.9139990757,-169283.2319979479
0.01,0.37,0.37,0.25,-173372.8831959595,-169177.03872735664
0.01,0.37,0.38,0.24,-173224.53380661487,-169056.60377317027
0.01,0.37,0.39,0.23,-173063.74227948033,-168921.74982299292
0.01,0.37,0.4,0.22,-172890.3503198321,-168772.26412451454
0.01,0.38,0.2,0.41,-173750.41102388108,-168847.30696652643
0.01,0.38,0.21,0.4,-173811.03299768118,-168961.62703155007
0.01,0.38,0.22,0.39,-173857.38997263176,-169060.44021432445
0.01,0.38,0.23,0.38,-173889.8344705628,-169144.05467857546
0.01,0.38,0.24,0.37,-173908.67648892335,-169212.73536700552
0.01,0.38,0.25,0.36,-173914.18749118986,-169266.70799168435
0.01,0.38,0.26,0.35,-173906.603615736,-169306.1622429035
0.01,0.38,0.27,0.34,-173886.1282341674,-169331.25434749806
0.01,0.38,0.28,0.33,-173852.93395763618,-169342.10907515034
0.01,0.38,0.29,0.32,-173807.1641646203,-169338.8212661596
0.01,0.38,0.3,0.31,-173748.93410385234,-169321.45693436248
0.01,0.38,0.31,0.3,-173678.33160991056,-169290.05398271797
0.01,0.38,0.32,0.29,-173595.41745524944,-169244.62255533173
0.01,0.38,0.33,0.28,-173500.22535019933,-169185.14503745126
0.01,0.38,0.34,0.27,-173392.76159093666,-169111.5757034321
0.01,0.38,0.35,0.26,-173273.00434389216,-169023.8400011431
0.01,0.38,0.36,0.25,-173140.90254282247,-168921.83344903548
0.01,0.38,0.37,0.24,-172996.37436103082,-168805.42010836175
0.01,0.38,0.38,0.23,-172839.30520505237,-168674.43057685948
0.01,0.38,0.39,0.22,-172669.54515631942,-168528.65943041592
0.01,0.38,0.4,0.21,-172486.9057622917,-168367.8620141979
0.01,0.39,0.19,0.41,-173420.10866545665,-168480.99539457017
0.01,0.39,0.2,0.4,-173488.52296952376,-168604.1198305231
0.01,0.39,0.21,0.39,-173542.2312991578,-168711.25467214992
0.01,0.39,0.22,0.38,-173581.62905943717,-168802.7499181497
0.01,0.39,0.23,0.37,-173607.06371239046,-168878.9069275728
0.01,0.39,0.24,0.36,-173618.83967195082,-168939.98331475235
0.01,0.39,0.25,0.35,-173617.22223613798,-168986.19688146637
0.01,0.39,0.26,0.34,-173602.4407293779,-169017.72875923978
0.01,0.39,0.27,0.33,-173574.6909844921,-169034.72589131925
0.01,0.39,0.28,0.32,-173534.13726108996,-169037.30295105267
0.01,0.39,0.29,0.31,-173480.91367167505,-169025.54376798478
0.01,0.39,0.3,0.3,-173415.12516648637,-168999.50231268848
0.01,0.39,0.31,0.29,-173336.84811130032,-168959.20327455996
0.01,0.39,0.32,0.28,-173246.1304778893,-168904.64225226987
0.01,0.39,0.33,0.27,-173142.99165356313,-168835.78556329975
0.01,0.39,0.34,0.26,-173027.421863367,-168752.56966613498
0.01,0.39,0.35,0.25,-172899.38118524035,-168654.9001754202
0.01,0.39,0.36,0.24,-172758.79812391044,-168542.6504358499
0.01,0.39,0.37,0.23,-172605.5676925002,-168415.6596037738
0.01,0.39,0.38,0.22,-172439.54893053856,-168273.73016520575
0.01,0.39,0.39,0.21,-172260.56176164126,-168116.62479350306
0.01,0.39,0.4,0.2,-172068.3830613285,-167944.06241718377
0.01,0.4,0.18,0.41,-173075.99491852592,-168098.34966142033
0.01,0.4,0.19,0.4,-173152.6843168889,-168230.78310268524
0.01,0.4,0.2,0.39,-173214.17871874513,-168346.69604446323
0.01,0.4,0.21,0.38,-173260.92297426317,-168446.486882171
0.01,0.4,0.22,0.37,-173293.30742872,-168530.49880979006
0.01,0.4,0.23,0.36,-173311.67396062834,-168599.0258579638
0.01,0.4,0.24,0.35,-173316.32081846453,-168652.31773069978
0.01,0.4,0.25,0.34,-173307.50648630067,-168690.58367097922
0.01,0.4,0.26,0.33,-173285.4527497786,-168713.99552671166
0.01,0.4,0.27,0.32,-173250.34709017706,-168722.69014478516
0.01,0.4,0.28,0.31,-173202.34450113107,-168716.77118777137
0.01,0.4,0.29,0.3,-173141.56879665068,-168696.310441932
0.01,0.4,0.3,0.29,-173068.11345817297,-168661.34866425992
0.01,0.4,0.31,0.28,-172982.04205079217,-168611.89599870067
0.01,0.4,0.32,0.27,-172883.38822326026,-168547.93197614493
0.01,0.4,0.33,0.26,-172772.15529175586,-168469.40509819158
0.01,0.4,0.34,0.25,-172648.31539283282,-168376.23199009043
0.01,0.4,0.35,0.24,-172511.80817540112,-168268.29609271899
0.01,0.4,0.36,0.23,-172362.5389840078,-168145.4458458597
0.01,0.4,0.37,0.22,-172200.37646476954,-168007.49229413006
0.01,0.4,0.38,0.21,-172025.14949939877,-167854.206021006
0.01,0.4,0.39,0.2,-171836.64333957163,-167685.31328318876
0.01,0.4,0.4,0.19,-171634.59477019985,-167500.4911738757
0.02,0.17,0.4,0.41,-178421.2893828743,-173703.70892259385
0.02,0.18,0.39,0.41,-178363.94782594705,-173656.06631643625
0.02,0.18,0.4,0.4,-178333.58833256812,-173661.4271728003
0.02,0.19,0.38,0.41,-178291.3746075656,-173591.21915201444
0.02,0.19,0.39,0.4,-178264.26312728832,-173600.71705758528
0.02,0.19,0.4,0.39,-178226.79389973456,-173599.3838389939
0.02,0.2,0.37,0.41,-178204.04204622423,-173509.6134115228
0.02,0.2,0.38,0.4,-178180.31404196465,-173523.37734887403
0.02,0.2,0.39,0.39,-178146.11358664773,-173526.15684019905
0.02,0.2,0.4,0.38,-178101.48277508913,-173517.9688343134
0.02,0.21,0.36,0.41,-178102.35940837965,-173411.63206433185
0.02,0.21,0.37,0.4,-178082.15592314987,-173429.7980421618
0.02,0.21,0.38,0.39,-178051.35830552585,-173436.81912716056
0.02,0.21,0.39,0.38,-178010.0170264793,-173432.7195963665
0.02,0.21,0.4,0.37,-177958.16912102458,-173417.50959408766
0.02,0.22,0.35,0.41,-177986.6803499419,-173297.6024820862
0.02,0.22,0.36,0.4,-177970.14858879067,-173320.3141148161
