phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,B,Cr,x_Cr,0.4,λ·B,0.005565919265778056,-0.21149058495252696,0.013468190350646206,-0.12969583619176453,-0.07068650556534319,-0.16202396905293903
FCC,C,Fe,x_Fe,0.01,λ·C,-0.17671511755791097,0.20199083779493052,0.2487170420454126,-0.4001944175742054,-0.4280254382970937,-0.32605771180176946
FCC,C,Fe,x_Fe,0.02,λ·C,-0.2207660955271837,0.005063695753164775,-0.010791229595208193,-0.31019699444550664,-0.426732801920977,-0.31624201612679925
FCC,C,Fe,x_Fe,0.03,λ·C,-0.19989749079311078,-0.12333329683938225,-0.11759770582289251,-0.0038530818112703143,-0.38460876404829974,-0.192791745190507
FCC,C,Fe,x_Fe,0.04,λ·C,-0.17880308656378632,-0.08107264291065877,0.01665460964543295,0.11406775785765239,-0.20820275656107398,-0.044357994207065585
FCC,C,Fe,x_Fe,0.05,λ·C,-0.16074628684556397,0.02682771117780451,0.2297712618321329,-0.015178645803564152,0.04798463603066542,-0.0741463924555087
FCC,C,Fe,x_Fe,0.06,λ·C,-0.13902382403740057,-0.06322587011054315,0.3188598197599751,-0.11489142861278401,0.078781328520866,-0.14914802363142338
FCC,C,Fe,x_Fe,0.07,λ·C,-0.21774675597454662,-0.31836856240237316,0.14095488663343197,-0.07230739706813269,-0.12555444994904677,0.03378506081255303
FCC,C,Fe,x_Fe,0.08,λ·C,-0.243360894856974,-0.358810600680044,-0.05180467285041601,0.1323028294649804,-0.12855908307649883,0.18897888329871132
FCC,C,Fe,x_Fe,0.09,λ·C,-0.2074302032820771,-0.18777908910035865,-0.04761755152011846,0.17952677569602862,0.05053700203305517,0.04117967108056551
FCC,C,Fe,x_Fe,0.1,λ·C,-0.24717119212739533,-0.09499758843766187,0.12206130933535562,0.03181499129358675,0.19366013657096653,-0.07571385169852696
FCC,C,Fe,x_Fe,0.11,λ·C,-0.2666245553356482,-0.14973660582988632,0.15968942075621875,-0.16707458437485276,0.1359851086520532,-0.18468780674302943
FCC,C,Fe,x_Fe,0.12,λ·C,-0.25616418341989367,-0.37277824962969763,-0.08085495101557626,-0.10939284385891841,-0.01794601185337026,-0.11661189981122078
FCC,C,Fe,x_Fe,0.13,λ·C,-0.18063786898095405,-0.27918302726525546,-0.2431680540200401,0.11113345403106607,-0.04010585420069222,-0.09156587099817395
FCC,C,Fe,x_Fe,0.14,λ·C,-0.12531066521534112,0.034868630163413676,-0.14342461030208098,0.11234047477512293,0.046388363574015636,-0.18938703847890323
FCC,C,Fe,x_Fe,0.15,λ·C,-0.1409092265528649,0.21201777200451985,0.029971611575494238,-0.11366906674577697,0.08944088490766672,-0.2849528853924285
FCC,C,Fe,x_Fe,0.16,λ·C,-0.13442244300822712,0.07118424690494679,-0.01359591375453364,-0.2786727131455082,0.0029357245564846715,-0.3134680425011031
FCC,C,Fe,x_Fe,0.17,λ·C,-0.09761156664018206,-0.13669666146730278,-0.23672457118635293,-0.14381894879420778,-0.14541980042226252,-0.21751415306855432
FCC,C,Fe,x_Fe,0.18,λ·C,-0.03689971497123739,-0.07658367033590822,-0.2850568440493536,0.0807052615037363,-0.11830948708533141,-0.12049056797743601
FCC,C,Fe,x_Fe,0.19,λ·C,0.015045085185543088,0.11493151952847956,-0.1335408176061851,0.003220976160485149,-0.011157366475369775,-0.12203114928733991
FCC,C,Fe,x_Fe,0.2,λ·C,0.03938031128490419,0.14932226265303786,-0.016323110738236044,-0.1990887467166744,-0.030778623084826023,-0.1521996965723695
FCC,C,Fe,x_Fe,0.21,λ·C,0.06952818327343545,-0.019458935159630077,-0.10421269864166977,-0.2977893702707271,-0.16719536773941124,-0.0877567983318915
FCC,C,Fe,x_Fe,0.22,λ·C,0.12127510938337374,-0.1361204800849608,-0.25229026088421497,-0.11016075770480241,-0.24680100472924432,-0.025486929955682323
FCC,C,Fe,x_Fe,0.23,λ·C,0.11890054073047489,-0.04249643943697885,-0.27893601048668704,0.018953414069941724,-0.1689714811111868,0.05427212440004558
